ISO3,year,CIT_rate
FRA,2021,28.4075
FRA,2022,25.825
FRA,2023,25.825
FRA,2024,25.825
FRO,2021,18
FRO,2022,18
FRO,2023,18
FRO,2024,18
GAB,2021,30
GAB,2022,30
GAB,2023,30
GAB,2024,30
GBR,2021,19
GBR,2022,19
GBR,2023,25
GBR,2024,25
GEO,2021,15
GEO,2022,15
GEO,2023,15
GEO,2024,15
GGY,2021,0
GGY,2022,0
GGY,2023,0
GGY,2024,0
GIB,2021,10
GIB,2022,12.5
GIB,2023,12.5
GIB,2024,12.5
GRC,2021,22
GRC,2022,22
GRC,2023,22
GRC,2024,22
GRD,2021,28
GRD,2022,28
GRD,2023,28
GRD,2024,28
GRL,2021,26.5
GRL,2022,26.5
GRL,2023,26.5
GRL,2024,26.5
HKG,2021,16.5
HKG,2022,16.5
HKG,2023,16.5
HKG,2024,16.5
HND,2021,30
HND,2022,30
HND,2023,30
HND,2024,30
HRV,2021,18
HRV,2022,18
HRV,2023,18
HRV,2024,18
HTI,2021,30
HTI,2022,30
HTI,2023,30
HTI,2024,30
HUN,2021,9
HUN,2022,9
HUN,2023,9
HUN,2024,9
IDN,2021,22
IDN,2022,22
IDN,2023,22
IDN,2024,22
IMN,2021,0
IMN,2022,0
IMN,2023,0
IMN,2024,0
IND,2021,25.17
IND,2022,25.17
IND,2023,25.17
IND,2024,25.17
IRL,2021,12.5
IRL,2022,12.5
IRL,2023,12.5
IRL,2024,12.5
ISL,2021,20
ISL,2022,20
ISL,2023,20
ISL,2024,21
ISR,2021,23
ISR,2022,23
ISR,2023,23
ISR,2024,23
ITA,2021,27.81
ITA,2022,27.81
ITA,2023,27.81
ITA,2024,27.81
JAM,2021,25
JAM,2022,25
JAM,2023,25
JAM,2024,25
JEY,2021,0
JEY,2022,0
JEY,2023,0
JEY,2024,0
JOR,2021,20
JOR,2022,20
JOR,2023,20
JOR,2024,20
JPN,2021,29.74
JPN,2022,29.74
JPN,2023,29.74
JPN,2024,29.74
KAZ,2021,20
KAZ,2022,20
KAZ,2023,20
KAZ,2024,20
KEN,2021,30
KEN,2022,30
KEN,2023,30
KEN,2024,30
KNA,2021,33
KNA,2022,33
KNA,2023,33
KNA,2024,33
KOR,2021,27.5
KOR,2022,27.5
KOR,2023,26.4
KOR,2024,26.4
KWT,2021,15
KWT,2022,15
KWT,2023,15
KWT,2024,15
LBR,2021,25
LBR,2022,25
LBR,2023,25
LBR,2024,25
LCA,2021,30
LCA,2022,30
LCA,2023,30
LCA,2024,30
LIE,2021,12.5
LIE,2022,12.5
LIE,2023,12.5
LIE,2024,12.5
LKA,2021,24
LKA,2022,24
LKA,2023,30
LKA,2024,30
LTU,2021,15
LTU,2022,15
LTU,2023,15
LTU,2024,15
LUX,2021,24.94
LUX,2022,24.94
LUX,2023,24.94
LUX,2024,24.94
LVA,2021,20
LVA,2022,20
LVA,2023,20
LVA,2024,20
MAC,2021,12
MAC,2022,12
MAC,2023,12
MAC,2024,12
MAR,2021,31
MAR,2022,31
MAR,2023,32
MAR,2024,32
MCO,2021,26.5
MCO,2022,25
MCO,2023,25
MCO,2024,25
MDV,2021,15
MDV,2022,15
MDV,2023,15
MDV,2024,15
MEX,2021,30
MEX,2022,30
MEX,2023,30
MEX,2024,30
MKD,2021,10
MKD,2022,10
MKD,2023,10
MKD,2024,10
MLT,2021,35
MLT,2022,35
MLT,2023,35
MLT,2024,35
MNE,2021,9
MNE,2022,15
MNE,2023,15
MNE,2024,15
MNG,2021,25
MNG,2022,25
MNG,2023,25
MNG,2024,25
MRT,2021,25
MRT,2022,25
MRT,2023,25
MRT,2024,25
MSR,2021,30
MSR,2022,30
MSR,2023,30
MSR,2024,30
MUS,2021,15
MUS,2022,15
MUS,2023,15
MUS,2024,15
MYS,2021,24
MYS,2022,24
MYS,2023,24
MYS,2024,24
NAM,2021,32
NAM,2022,32
NAM,2023,32
NAM,2024,32
NGA,2021,30
NGA,2022,30
NGA,2023,30
NGA,2024,30
NLD,2021,25
NLD,2022,25.8
NLD,2023,25.8
NLD,2024,25.8
NOR,2021,22
NOR,2022,22
NOR,2023,22
NOR,2024,22
NZL,2021,28
NZL,2022,28
NZL,2023,28
NZL,2024,28
OMN,2021,15
OMN,2022,15
OMN,2023,15
OMN,2024,15
PAK,2021,29
PAK,2022,29
PAK,2023,29
PAK,2024,29
PAN,2021,25
PAN,2022,25
PAN,2023,25
PAN,2024,25
PER,2021,29.5
PER,2022,29.5
PER,2023,29.5
PER,2024,29.5
PHL,2021,30
PHL,2022,25
PHL,2023,25
PHL,2024,25
PNG,2021,30
PNG,2022,30
PNG,2023,30
PNG,2024,30
POL,2021,19
POL,2022,19
POL,2023,19
POL,2024,19
PRT,2021,31.5
PRT,2022,31.5
PRT,2023,31.5
PRT,2024,31.5
PRY,2021,10
PRY,2022,10
PRY,2023,10
PRY,2024,10
QAT,2021,10
QAT,2022,10
QAT,2023,10
QAT,2024,10
ROU,2021,16
ROU,2022,16
ROU,2023,16
ROU,2024,16
SAU,2021,20
SAU,2022,20
SAU,2023,20
SAU,2024,20
SEN,2021,30
SEN,2022,30
SEN,2023,30
SEN,2024,30
SGP,2021,17
SGP,2022,17
SGP,2023,17
SGP,2024,17
SLE,2021,25
SLE,2022,25
SLE,2023,25
SLE,2024,25
SMR,2021,17
SMR,2022,17
SMR,2023,17
SMR,2024,17
SRB,2021,15
SRB,2022,15
SRB,2023,15
SRB,2024,15
SVK,2021,21
SVK,2022,21
SVK,2023,21
SVN,2021,19
SVN,2022,19
SVN,2023,19
SVN,2024,22
SWE,2021,20.6
SWE,2022,20.6
SWE,2023,20.6
SWE,2024,20.6
SWZ,2021,27.5
SWZ,2022,27.5
SWZ,2023,27.5
SWZ,2024,27.5
SYC,2021,30
SYC,2022,25
SYC,2023,25
SYC,2024,25
TCA,2021,0
TCA,2022,0
TCA,2023,0
TCA,2024,0
TGO,2021,27
TGO,2022,27
TGO,2023,27
TGO,2024,27
THA,2021,20
THA,2022,20
THA,2023,20
THA,2024,20
TTO,2021,30
TTO,2022,30
TTO,2023,30
TTO,2024,30
TUN,2021,15
TUN,2022,15
TUN,2023,15
TUN,2024,15
TUR,2021,25
TUR,2022,23
TUR,2023,25
TUR,2024,25
UKR,2021,18
UKR,2022,18
UKR,2023,18
UKR,2024,18
URY,2021,25
URY,2022,25
URY,2023,25
URY,2024,25
USA,2021,25.754568
USA,2022,25.808085
USA,2023,25.767935
USA,2024,25.631375
UZB,2021,15
UZB,2022,15
UZB,2023,15
UZB,2024,15
VCT,2021,30
VCT,2022,30
VCT,2023,28
VCT,2024,28
VGB,2021,0
VGB,2022,0
VGB,2023,0
VGB,2024,0
VNM,2021,20
VNM,2022,20
VNM,2023,20
VNM,2024,20
WSM,2021,27
WSM,2022,27
WSM,2023,27
WSM,2024,27
ZAF,2021,28
ZAF,2022,27
ZAF,2023,27
ZAF,2024,27
ZMB,2021,35
ZMB,2022,30
ZMB,2023,30
ZMB,2024,30
